STATISTIC,Statistic Label,TLIST(A1),Year,C03935V04687,Mode of Transport,C01198V01436,Weeks of the year,UNIT,VALUE
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",19,Week 19,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",20,Week 20,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",21,Week 21,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",22,Week 22,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",23,Week 23,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",24,Week 24,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",25,Week 25,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",26,Week 26,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",27,Week 27,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",28,Week 28,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",29,Week 29,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",30,Week 30,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",31,Week 31,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",32,Week 32,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",33,Week 33,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",34,Week 34,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",35,Week 35,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",36,Week 36,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",37,Week 37,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",38,Week 38,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",39,Week 39,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",40,Week 40,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",41,Week 41,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",42,Week 42,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",43,Week 43,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",44,Week 44,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",45,Week 45,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",46,Week 46,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",47,Week 47,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",48,Week 48,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",49,Week 49,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",50,Week 50,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",51,Week 51,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",52,Week 52,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",53,Week 53,Number,
